Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,14500000,15800000,17100000,18100000,18900000,19400000,19700000,20200000,20800000,21600000,22600000,23700000,24700000,25700000,26400000,27100000,27700000,28400000,29200000,30100000,31200000,32300000,33400000,34400000,35400000,36300000,37200000,38000000,38900000
Albania,3250000,3200000,3150000,3110000,3100000,3100000,3110000,3120000,3130000,3130000,3130000,3120000,3100000,3090000,3060000,3030000,3000000,2970000,2950000,2930000,2910000,2900000,2900000,2890000,2890000,2880000,2880000,2880000,2880000
Algeria,27000000,27600000,28200000,28800000,29300000,29700000,30200000,30600000,31000000,31500000,31900000,32300000,32700000,33100000,33600000,34200000,34700000,35300000,36000000,36700000,37400000,38100000,38900000,39700000,40600000,41400000,42200000,43100000,43900000
Andorra,58900,61000,62700,63900,64400,64300,64100,64400,65400,67300,70000,73200,76300,78900,81000,82700,83900,84500,84500,83700,82400,80800,79200,78000,77300,77000,77000,77100,77300
Angola,12700000,13100000,13500000,13900000,14400000,14900000,15400000,15900000,16400000,16900000,17500000,18100000,18800000,19400000,20100000,20900000,21700000,22500000,23400000,24200000,25100000,26000000,26900000,27900000,28800000,29800000,30800000,31800000,32900000
Antigua And Barbuda,64500,65800,67200,68700,70200,71700,73200,74700,76000,77200,78300,79300,80300,81500,82700,84000,85400,86700,88000,89300,90400,91500,92600,93600,94500,95400,96300,97100,97900
Argentina,33500000,34000000,34400000,34800000,35200000,35700000,36100000,36500000,36900000,37300000,37700000,38100000,38500000,38900000,39300000,39700000,40100000,40500000,40900000,41300000,41800000,42200000,42600000,43100000,43500000,43900000,44400000,44800000,45200000
Armenia,3440000,3360000,3280000,3220000,3170000,3130000,3110000,3090000,3070000,3050000,3030000,3020000,3000000,2980000,2960000,2930000,2910000,2890000,2880000,2880000,2880000,2900000,2910000,2930000,2940000,2940000,2950000,2960000,2960000
Australia,17400000,17600000,17800000,18000000,18200000,18400000,18600000,18800000,19000000,19200000,19400000,19600000,19900000,20200000,20500000,20900000,21300000,21800000,22200000,22500000,22900000,23300000,23600000,23900000,24300000,24600000,24900000,25200000,25500000
Austria,7830000,7890000,7950000,7990000,8020000,8030000,8040000,8050000,8070000,8100000,8130000,8180000,8220000,8250000,8290000,8310000,8340000,8370000,8410000,8450000,8500000,8560000,8620000,8680000,8750000,8820000,8890000,8960000,9010000
Azerbaijan,7470000,7580000,7680000,7780000,7860000,7930000,7990000,8050000,8120000,8200000,8280000,8360000,8450000,8540000,8630000,8720000,8820000,8920000,9030000,9150000,9260000,9390000,9510000,9620000,9740000,9850000,9950000,10000000,10100000
Bahamas,266000,271000,276000,280000,284000,287000,291000,294000,298000,303000,308000,313000,319000,325000,331000,337000,344000,350000,355000,360000,364000,367000,371000,374000,378000,382000,386000,389000,393000
Bahrain,523000,536000,550000,564000,579000,595000,614000,637000,665000,698000,735000,779000,830000,889000,958000,1040000,1110000,1190000,1240000,1280000,1300000,1320000,1340000,1370000,1430000,1490000,1570000,1640000,1700000
Bangladesh,108000000,110000000,113000000,115000000,118000000,120000000,123000000,125000000,128000000,130000000,132000000,135000000,137000000,139000000,141000000,143000000,144000000,146000000,148000000,149000000,151000000,153000000,155000000,156000000,158000000,160000000,161000000,163000000,165000000
Barbados,263000,264000,265000,266000,267000,268000,269000,270000,272000,272000,273000,274000,275000,276000,277000,279000,280000,281000,282000,283000,284000,284000,285000,285000,286000,286000,287000,287000,287000
Belarus,10200000,10100000,10100000,10100000,10000000,10000000,9970000,9920000,9870000,9810000,9750000,9680000,9620000,9560000,9520000,9480000,9450000,9430000,9420000,9420000,9420000,9420000,9430000,9440000,9450000,9450000,9450000,9450000,9450000
Belgium,10100000,10100000,10200000,10200000,10200000,10200000,10200000,10300000,10300000,10300000,10400000,10400000,10500000,10500000,10600000,10700000,10800000,10900000,10900000,11000000,11100000,11200000,11200000,11300000,11400000,11400000,11500000,11500000,11600000
Belize,194000,198000,202000,207000,214000,222000,230000,239000,247000,255000,262000,269000,277000,284000,291000,299000,307000,315000,322000,330000,338000,346000,353000,361000,368000,376000,383000,390000,398000
Benin,5330000,5520000,5710000,5910000,6090000,6280000,6470000,6660000,6870000,7080000,7300000,7520000,7750000,7980000,8220000,8450000,8700000,8940000,9200000,9460000,9730000,10000000,10300000,10600000,10900000,11200000,11500000,11800000,12100000
Bhutan,535000,533000,532000,535000,541000,552000,564000,578000,591000,604000,616000,628000,639000,649000,657000,665000,672000,678000,686000,693000,702000,710000,719000,728000,737000,746000,754000,763000,772000
Bolivia,7160000,7310000,7470000,7620000,7780000,7940000,8100000,8260000,8420000,8580000,8740000,8910000,9070000,9230000,9400000,9560000,9720000,9880000,10000000,10200000,10400000,10500000,10700000,10900000,11000000,11200000,11400000,11500000,11700000
Bosnia And Herzegovina,4230000,4080000,3940000,3830000,3760000,3740000,3730000,3740000,3750000,3760000,3760000,3760000,3760000,3770000,3770000,3760000,3750000,3740000,3710000,3660000,3600000,3540000,3480000,3430000,3390000,3350000,3320000,3300000,3280000
Botswana,1360000,1400000,1430000,1470000,1500000,1540000,1580000,1610000,1640000,1670000,1700000,1730000,1770000,1800000,1840000,1880000,1920000,1950000,1990000,2020000,2040000,2060000,2090000,2120000,2160000,2210000,2250000,2300000,2350000
Brazil,154000000,157000000,159000000,162000000,165000000,167000000,170000000,172000000,175000000,177000000,180000000,182000000,184000000,186000000,188000000,190000000,192000000,194000000,196000000,198000000,199000000,201000000,203000000,204000000,206000000,208000000,209000000,211000000,213000000
Brunei,274000,282000,289000,297000,305000,312000,319000,326000,333000,340000,347000,353000,359000,365000,370000,375000,379000,384000,389000,394000,399000,404000,410000,415000,420000,424000,429000,433000,437000
Bulgaria,8680000,8580000,8470000,8380000,8290000,8210000,8140000,8070000,8000000,7930000,7870000,7800000,7740000,7690000,7630000,7580000,7520000,7470000,7430000,7380000,7330000,7290000,7250000,7200000,7150000,7100000,7050000,7000000,6950000
Burkina Faso,9300000,9550000,9820000,10100000,10400000,10700000,11000000,11300000,11600000,11900000,12300000,12700000,13000000,13400000,13800000,14300000,14700000,15100000,15600000,16100000,16600000,17100000,17600000,18100000,18600000,19200000,19800000,20300000,20900000
Burundi,5690000,5800000,5900000,5990000,6060000,6120000,6190000,6270000,6380000,6530000,6700000,6910000,7130000,7360000,7610000,7860000,8130000,8400000,8680000,8960000,9250000,9540000,9840000,10200000,10500000,10800000,11200000,11500000,11900000
Cambodia,9620000,9970000,10300000,10700000,11000000,11300000,11600000,11900000,12200000,12400000,12600000,12900000,13100000,13300000,13500000,13700000,13900000,14100000,14300000,14500000,14800000,15000000,15300000,15500000,15800000,16000000,16200000,16500000,16700000
Cameroon,12500000,12900000,13200000,13600000,14000000,14300000,14700000,15100000,15500000,15900000,16400000,16800000,17300000,17700000,18200000,18700000,19300000,19800000,20300000,20900000,21500000,22100000,22700000,23300000,23900000,24600000,25200000,25900000,26500000
Canada,28200000,28500000,28900000,29200000,29500000,29700000,30000000,30300000,30600000,30900000,31200000,31500000,31800000,32200000,32500000,32900000,33300000,33700000,34100000,34500000,34900000,35300000,35700000,36000000,36400000,36700000,37100000,37400000,37700000
Cabo Verde,356000,366000,376000,386000,396000,404000,413000,420000,428000,436000,443000,450000,457000,463000,469000,475000,481000,487000,493000,499000,505000,512000,518000,525000,531000,537000,544000,550000,556000
Central African Republic,2960000,3050000,3140000,3220000,3310000,3390000,3480000,3560000,3640000,3720000,3800000,3880000,3960000,4040000,4120000,4200000,4270000,4340000,4390000,4420000,4440000,4450000,4460000,4490000,4540000,4600000,4670000,4750000,4830000
Chad,6360000,6560000,6780000,7010000,7250000,7500000,7770000,8050000,8360000,8680000,9020000,9370000,9730000,10100000,10500000,10800000,11200000,11600000,12000000,12400000,12800000,13200000,13700000,14100000,14600000,15000000,15500000,15900000,16400000
Chile,13700000,13900000,14200000,14400000,14600000,14800000,15000000,15200000,15300000,15500000,15700000,15800000,16000000,16200000,16400000,16500000,16700000,16900000,17100000,17200000,17400000,17600000,17800000,18000000,18200000,18500000,18700000,19000000,19100000
China,1210000000,1220000000,1230000000,1240000000,1250000000,1260000000,1270000000,1280000000,1290000000,1300000000,1310000000,1320000000,1320000000,1330000000,1340000000,1350000000,1350000000,1360000000,1370000000,1380000000,1380000000,1390000000,1400000000,1410000000,1410000000,1420000000,1430000000,1430000000,1440000000
Colombia,34400000,35100000,35800000,36400000,37100000,37700000,38400000,39000000,39600000,40300000,40900000,41500000,42100000,42600000,43200000,43700000,44300000,44800000,45200000,45700000,46100000,46500000,47000000,47500000,48200000,48900000,49700000,50300000,50900000
Comoros,436000,449000,462000,475000,489000,502000,515000,529000,542000,556000,569000,583000,597000,612000,626000,642000,657000,673000,690000,707000,724000,742000,759000,777000,796000,814000,832000,851000,870000
Dem Rep Of Congo,37300000,38800000,40300000,41600000,42800000,43800000,44800000,45900000,47100000,48400000,49900000,51400000,53100000,54800000,56600000,58500000,60400000,62400000,64600000,66800000,69000000,71400000,73800000,76200000,78800000,81400000,84100000,86800000,89600000
Rep Of Congo,2490000,2560000,2630000,2710000,2790000,2870000,2950000,3040000,3130000,3220000,3310000,3410000,3510000,3620000,3750000,3880000,4010000,4150000,4270000,4390000,4510000,4620000,4740000,4860000,4980000,5110000,5240000,5380000,5520000
Costa Rica,3290000,3370000,3460000,3550000,3630000,3720000,3800000,3890000,3960000,4030000,4100000,4160000,4230000,4290000,4350000,4400000,4460000,4520000,4580000,4630000,4690000,4740000,4800000,4850000,4900000,4950000,5000000,5050000,5090000
Cote D'Ivoire,12800000,13300000,13700000,14200000,14700000,15100000,15600000,16000000,16500000,16900000,17200000,17600000,18000000,18400000,18800000,19200000,19600000,20100000,20500000,21000000,21500000,22100000,22600000,23200000,23800000,24400000,25100000,25700000,26400000
Croatia,4730000,4700000,4660000,4620000,4570000,4530000,4490000,4460000,4430000,4410000,4400000,4390000,4380000,4380000,4370000,4360000,4350000,4340000,4330000,4310000,4300000,4280000,4260000,4230000,4210000,4180000,4160000,4130000,4110000
Cuba,10700000,10800000,10800000,10900000,10900000,11000000,11000000,11100000,11100000,11200000,11200000,11200000,11300000,11300000,11300000,11300000,11200000,11200000,11200000,11200000,11300000,11300000,11300000,11300000,11300000,11300000,11300000,11300000,11300000
Cyprus,801000,819000,837000,855000,873000,891000,909000,926000,943000,960000,977000,994000,1010000,1030000,1050000,1060000,1080000,1100000,1110000,1120000,1140000,1140000,1150000,1160000,1170000,1180000,1190000,1200000,1210000
Czech Republic,10400000,10400000,10400000,10400000,10400000,10300000,10300000,10300000,10300000,10300000,10300000,10200000,10200000,10300000,10300000,10400000,10400000,10500000,10500000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,10700000,10700000,10700000
Denmark,5170000,5190000,5210000,5230000,5250000,5280000,5300000,5320000,5340000,5360000,5370000,5390000,5400000,5420000,5440000,5470000,5500000,5530000,5550000,5580000,5610000,5640000,5660000,5690000,5710000,5730000,5750000,5770000,5790000
Djibouti,615000,619000,622000,630000,644000,661000,680000,700000,718000,733000,747000,760000,772000,783000,795000,805000,816000,828000,840000,854000,868000,883000,899000,914000,929000,944000,959000,974000,988000
Dominica,70500,70800,71000,71100,70900,70600,70200,69800,69700,69700,69800,70100,70400,70600,70700,70800,70800,70800,70900,70900,71000,71000,71100,71200,71300,71500,71600,71800,72000
Dominican Republic,7410000,7550000,7680000,7820000,7950000,8080000,8210000,8340000,8470000,8600000,8720000,8850000,8970000,9100000,9220000,9340000,9460000,9580000,9700000,9810000,9930000,10000000,10200000,10300000,10400000,10500000,10600000,10700000,10800000
Ecuador,10700000,11000000,11200000,11500000,11700000,12000000,12200000,12400000,12700000,12900000,13100000,13400000,13600000,13800000,14100000,14300000,14500000,14800000,15000000,15200000,15500000,15700000,16000000,16200000,16500000,16800000,17100000,17400000,17600000
Egypt,58700000,59900000,61100000,62300000,63600000,64900000,66200000,67500000,68800000,70200000,71500000,72800000,74200000,75500000,76900000,78200000,79600000,81100000,82800000,84500000,86400000,88400000,90400000,92400000,94400000,96400000,98400000,100000000,102000000
El Salvador,5420000,5490000,5560000,5630000,5690000,5750000,5800000,5840000,5890000,5930000,5960000,5990000,6020000,6050000,6080000,6110000,6130000,6160000,6180000,6210000,6240000,6270000,6300000,6330000,6360000,6390000,6420000,6450000,6490000
Equatorial Guinea,447000,463000,479000,497000,516000,536000,558000,582000,606000,632000,658000,687000,717000,750000,784000,822000,861000,902000,944000,987000,1030000,1080000,1120000,1170000,1220000,1260000,1310000,1360000,1400000
Eritrea,2260000,2240000,2220000,2200000,2200000,2200000,2210000,2240000,2290000,2370000,2480000,2600000,2720000,2830000,2920000,3000000,3060000,3120000,3170000,3210000,3250000,3280000,3310000,3340000,3380000,3410000,3450000,3500000,3550000
Estonia,1520000,1490000,1460000,1430000,1420000,1410000,1410000,1400000,1400000,1390000,1380000,1370000,1360000,1360000,1350000,1340000,1340000,1340000,1330000,1330000,1320000,1320000,1320000,1320000,1320000,1320000,1320000,1330000,1330000
Ethiopia,51400000,53300000,55200000,57000000,58900000,60700000,62500000,64300000,66200000,68200000,70100000,72200000,74200000,76300000,78500000,80700000,82900000,85200000,87600000,90100000,92700000,95400000,98100000,101000000,104000000,106000000,109000000,112000000,115000000
Fiji,744000,755000,766000,775000,784000,793000,800000,806000,811000,814000,815000,816000,818000,822000,828000,836000,845000,854000,860000,863000,865000,866000,866000,869000,872000,877000,883000,890000,896000
Finland,5040000,5070000,5100000,5120000,5140000,5150000,5160000,5180000,5190000,5200000,5210000,5230000,5240000,5260000,5280000,5300000,5320000,5340000,5370000,5390000,5410000,5440000,5460000,5480000,5500000,5510000,5520000,5530000,5540000
France,57100000,57400000,57600000,57800000,58000000,58200000,58400000,58700000,59000000,59400000,59800000,60300000,60700000,61100000,61500000,61900000,62200000,62500000,62900000,63200000,63600000,63900000,64200000,64500000,64700000,64800000,65000000,65100000,65300000
Gabon,1000000,1030000,1060000,1080000,1110000,1140000,1170000,1200000,1230000,1260000,1290000,1320000,1350000,1390000,1430000,1470000,1520000,1570000,1620000,1680000,1750000,1820000,1880000,1950000,2010000,2060000,2120000,2170000,2230000
Gambia,1030000,1060000,1090000,1130000,1160000,1200000,1240000,1280000,1320000,1360000,1400000,1450000,1500000,1540000,1590000,1640000,1690000,1740000,1790000,1850000,1910000,1960000,2020000,2090000,2150000,2210000,2280000,2350000,2420000
Georgia,5300000,5210000,5100000,4980000,4850000,4710000,4580000,4460000,4360000,4300000,4260000,4240000,4230000,4210000,4190000,4170000,4140000,4120000,4100000,4080000,4060000,4050000,4040000,4020000,4020000,4010000,4000000,4000000,3990000
Germany,80000000,80400000,80800000,81100000,81300000,81400000,81400000,81400000,81400000,81500000,81500000,81600000,81600000,81600000,81500000,81300000,81100000,80900000,80800000,80900000,81000000,81200000,81500000,81800000,82200000,82700000,83100000,83500000,83800000
Ghana,15700000,16100000,16600000,17000000,17500000,17900000,18400000,18800000,19300000,19800000,20200000,20800000,21300000,21800000,22400000,23000000,23600000,24200000,24800000,25400000,26000000,26600000,27200000,27800000,28500000,29100000,29800000,30400000,31100000
Greece,10400000,10500000,10600000,10700000,10800000,10900000,11000000,11000000,11100000,11100000,11200000,11200000,11200000,11200000,11200000,11100000,11000000,11000000,10900000,10800000,10800000,10700000,10700000,10700000,10600000,10600000,10500000,10500000,10400000
Grenada,97200,98200,99300,100000,101000,102000,102000,102000,103000,103000,104000,104000,104000,105000,105000,105000,105000,106000,106000,107000,107000,108000,109000,110000,110000,111000,111000,112000,113000
Guatemala,9710000,9940000,10200000,10400000,10600000,10900000,11100000,11400000,11700000,11900000,12200000,12500000,12800000,13100000,13400000,13700000,14000000,14300000,14600000,14900000,15300000,15600000,15900000,16300000,16600000,16900000,17200000,17600000,17900000
Guinea,6720000,6900000,7080000,7270000,7460000,7660000,7860000,8050000,8240000,8420000,8590000,8750000,8930000,9110000,9310000,9520000,9740000,9960000,10200000,10400000,10700000,10900000,11200000,11400000,11700000,12100000,12400000,12800000,13100000
Guinea-Bissau,1020000,1040000,1070000,1090000,1110000,1130000,1150000,1180000,1200000,1230000,1250000,1280000,1310000,1340000,1380000,1410000,1450000,1480000,1520000,1560000,1600000,1650000,1690000,1740000,1780000,1830000,1870000,1920000,1970000
Guyana,749000,754000,759000,761000,761000,758000,754000,750000,747000,745000,745000,745000,746000,746000,746000,746000,747000,748000,749000,752000,755000,759000,763000,767000,771000,775000,779000,783000,787000
Haiti,7320000,7460000,7600000,7740000,7890000,8030000,8170000,8320000,8460000,8610000,8750000,8900000,9050000,9200000,9340000,9500000,9650000,9800000,9950000,10100000,10300000,10400000,10500000,10700000,10800000,11000000,11100000,11300000,11400000
Holy See,773,780,777,778,784,787,786,788,790,792,792,792,795,798,795,794,792,787,783,786,786,786,785,790,791,798,810,815,809
Honduras,5240000,5390000,5550000,5710000,5870000,6050000,6220000,6400000,6570000,6750000,6930000,7110000,7280000,7460000,7630000,7810000,7980000,8150000,8320000,8480000,8640000,8800000,8960000,9110000,9270000,9430000,9590000,9750000,9900000
Hungary,10400000,10400000,10400000,10300000,10300000,10300000,10300000,10200000,10200000,10200000,10200000,10100000,10100000,10100000,10100000,10000000,9990000,9960000,9930000,9900000,9860000,9830000,9800000,9780000,9750000,9730000,9710000,9680000,9660000
Iceland,260000,263000,265000,268000,270000,273000,275000,278000,280000,283000,285000,288000,291000,295000,300000,305000,311000,316000,320000,323000,326000,327000,329000,330000,332000,334000,337000,339000,341000
India,909000000,927000000,946000000,964000000,982000000,1000000000,1020000000,1040000000,1060000000,1080000000,1090000000,1110000000,1130000000,1150000000,1170000000,1180000000,1200000000,1220000000,1230000000,1250000000,1270000000,1280000000,1300000000,1310000000,1320000000,1340000000,1350000000,1370000000,1380000000
Indonesia,188000000,191000000,194000000,197000000,200000000,203000000,206000000,209000000,212000000,214000000,217000000,220000000,223000000,226000000,229000000,232000000,235000000,239000000,242000000,245000000,248000000,252000000,255000000,258000000,262000000,265000000,268000000,271000000,274000000
Iran,58800000,59700000,60600000,61400000,62300000,63100000,64000000,64800000,65600000,66400000,67300000,68100000,69000000,69800000,70600000,71300000,72100000,72900000,73800000,74600000,75500000,76500000,77500000,78500000,79600000,80700000,81800000,82900000,84000000
Iraq,18400000,19000000,19500000,20100000,20800000,21400000,22100000,22800000,23500000,24200000,24900000,25600000,26300000,26900000,27400000,27900000,28400000,29000000,29700000,30700000,31900000,33200000,34400000,35600000,36600000,37600000,38400000,39300000,40200000
Ireland,3530000,3550000,3570000,3590000,3620000,3650000,3690000,3730000,3780000,3840000,3910000,3980000,4060000,4140000,4230000,4320000,4420000,4490000,4550000,4590000,4610000,4620000,4630000,4650000,4700000,4750000,4820000,4880000,4940000
Israel,4750000,4930000,5110000,5270000,5420000,5570000,5700000,5820000,5950000,6060000,6170000,6280000,6400000,6530000,6680000,6850000,7020000,7190000,7350000,7490000,7610000,7730000,7850000,7980000,8110000,8240000,8380000,8520000,8660000
Italy,57100000,57200000,57200000,57200000,57100000,56900000,56700000,56700000,56700000,56900000,57200000,57600000,57900000,58300000,58500000,58700000,58900000,59100000,59300000,59600000,59900000,60200000,60400000,60600000,60700000,60700000,60600000,60600000,60500000
Jamaica,2460000,2480000,2510000,2530000,2560000,2580000,2610000,2630000,2650000,2670000,2690000,2710000,2730000,2740000,2750000,2770000,2780000,2800000,2810000,2830000,2840000,2860000,2880000,2890000,2910000,2920000,2930000,2950000,2960000
Japan,125000000,126000000,126000000,126000000,127000000,127000000,127000000,127000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,129000000,129000000,129000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,127000000,127000000,126000000
Jordan,3980000,4200000,4410000,4590000,4730000,4850000,4940000,5030000,5120000,5220000,5320000,5430000,5580000,5770000,5990000,6260000,6560000,6890000,7260000,7660000,8090000,8520000,8920000,9270000,9550000,9790000,9970000,10100000,10200000
Kazakhstan,16300000,16200000,16000000,15800000,15600000,15400000,15200000,15000000,14900000,14900000,15000000,15100000,15300000,15400000,15600000,15700000,15900000,16000000,16300000,16500000,16800000,17000000,17300000,17600000,17800000,18100000,18300000,18600000,18800000
Kenya,25300000,26100000,27000000,27800000,28600000,29400000,30300000,31100000,32000000,32800000,33800000,34700000,35600000,36600000,37600000,38700000,39800000,40900000,42000000,43200000,44300000,45500000,46700000,47900000,49100000,50200000,51400000,52600000,53800000
Kiribati,74800,75700,76700,77700,78900,80200,81600,83000,84400,85800,87300,88800,90500,92300,94300,96500,98800,101000,103000,105000,106000,108000,109000,111000,113000,114000,116000,118000,119000
Kuwait,1910000,1770000,1660000,1610000,1630000,1710000,1830000,1950000,2050000,2100000,2140000,2160000,2200000,2270000,2370000,2500000,2660000,2820000,2990000,3170000,3350000,3530000,3690000,3840000,3960000,4060000,4140000,4210000,4270000
Kyrgyz Republic,4450000,4480000,4520000,4570000,4630000,4710000,4790000,4860000,4920000,4960000,4990000,5010000,5040000,5080000,5120000,5180000,5250000,5330000,5420000,5520000,5620000,5730000,5840000,5960000,6070000,6190000,6300000,6420000,6520000
Lao,4500000,4620000,4740000,4850000,4950000,5050000,5140000,5240000,5320000,5410000,5490000,5580000,5660000,5750000,5850000,5940000,6050000,6150000,6250000,6350000,6440000,6540000,6640000,6740000,6850000,6950000,7060000,7170000,7280000
Latvia,2620000,2580000,2540000,2510000,2480000,2450000,2430000,2410000,2380000,2360000,2330000,2310000,2280000,2250000,2230000,2200000,2170000,2140000,2120000,2090000,2070000,2040000,2020000,2000000,1970000,1950000,1930000,1910000,1890000
Lebanon,3080000,3250000,3400000,3530000,3610000,3660000,3690000,3750000,3840000,3990000,4180000,4390000,4570000,4700000,4760000,4770000,4760000,4810000,4950000,5200000,5540000,5910000,6260000,6530000,6710000,6820000,6860000,6860000,6830000
Lesotho,1780000,1820000,1860000,1900000,1930000,1970000,2000000,2020000,2030000,2040000,2030000,2020000,2010000,2000000,1990000,1990000,1990000,1990000,2000000,2000000,2010000,2030000,2040000,2060000,2080000,2090000,2110000,2130000,2140000
Liberia,2000000,1980000,1990000,2040000,2160000,2330000,2520000,2700000,2850000,2950000,3020000,3080000,3140000,3220000,3330000,3460000,3610000,3750000,3890000,4020000,4140000,4250000,4360000,4470000,4590000,4700000,4820000,4940000,5060000
