Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Libya,4650000,4760000,4850000,4950000,5040000,5120000,5200000,5280000,5360000,5440000,5530000,5620000,5710000,5800000,5890000,5970000,6060000,6130000,6200000,6250000,6290000,6320000,6360000,6420000,6490000,6580000,6680000,6780000,6870000
Liechtenstein,29600,30000,30400,30900,31400,31800,32300,32800,33200,33500,33900,34200,34400,34700,35000,35200,35500,35700,36000,36300,36600,36900,37200,37500,37700,37800,37900,38000,38100
Lithuania,3690000,3670000,3650000,3630000,3600000,3580000,3560000,3530000,3500000,3470000,3440000,3410000,3380000,3340000,3300000,3260000,3210000,3170000,3120000,3080000,3050000,3010000,2970000,2930000,2890000,2850000,2800000,2760000,2720000
Luxembourg,391000,397000,402000,408000,414000,420000,426000,431000,436000,440000,444000,447000,452000,458000,466000,475000,485000,497000,508000,519000,531000,543000,555000,567000,579000,592000,604000,616000,626000
Madagascar,12300000,12700000,13100000,13500000,13900000,14300000,14800000,15300000,15800000,16300000,16800000,17300000,17800000,18300000,18900000,19400000,20000000,20600000,21200000,21700000,22300000,23000000,23600000,24200000,24900000,25600000,26300000,27000000,27700000
Malawi,9690000,9710000,9750000,9840000,10000000,10300000,10600000,10900000,11100000,11400000,11700000,12000000,12300000,12600000,13000000,13300000,13700000,14100000,14500000,15000000,15400000,15800000,16300000,16700000,17200000,17700000,18100000,18600000,19100000
Malaysia,19000000,19500000,20000000,20500000,21000000,21600000,22100000,22700000,23200000,23700000,24200000,24700000,25200000,25700000,26200000,26700000,27200000,27700000,28200000,28700000,29100000,29500000,29900000,30300000,30700000,31100000,31500000,31900000,32400000
Maldives,236000,243000,249000,254000,259000,264000,268000,274000,279000,286000,294000,303000,311000,320000,327000,335000,343000,353000,366000,380000,397000,416000,435000,455000,476000,496000,516000,531000,541000
Mali,8850000,9090000,9330000,9590000,9840000,10100000,10400000,10600000,10900000,11300000,11600000,12000000,12400000,12800000,13200000,13700000,14100000,14600000,15000000,15500000,16000000,16400000,16900000,17400000,18000000,18500000,19100000,19700000,20300000
Malta,368000,371000,374000,377000,380000,384000,387000,391000,394000,396000,399000,401000,403000,405000,406000,408000,409000,412000,414000,418000,422000,426000,430000,434000,436000,438000,439000,440000,442000
Marshall Islands,49200,49800,50200,50500,50500,50500,50400,50400,50800,51400,52400,53500,54500,55300,55800,56000,56200,56300,56400,56500,56700,56900,57200,57400,57700,58100,58400,58800,59200
Mauritania,2140000,2200000,2260000,2310000,2370000,2430000,2500000,2560000,2630000,2700000,2780000,2860000,2940000,3020000,3110000,3200000,3300000,3390000,3490000,3600000,3710000,3820000,3930000,4050000,4160000,4280000,4400000,4530000,4650000
Mauritius,1080000,1100000,1110000,1130000,1140000,1150000,1170000,1180000,1190000,1190000,1200000,1210000,1220000,1220000,1230000,1230000,1240000,1240000,1250000,1250000,1250000,1260000,1260000,1260000,1260000,1260000,1270000,1270000,1270000
Mexico,87100000,88600000,90200000,91700000,93100000,94600000,96100000,97500000,98900000,100000000,102000000,103000000,105000000,106000000,108000000,109000000,111000000,112000000,114000000,116000000,117000000,119000000,120000000,122000000,123000000,125000000,126000000,128000000,129000000
Micronesia,101000,104000,106000,108000,108000,108000,108000,108000,107000,107000,107000,107000,107000,106000,105000,104000,104000,103000,103000,103000,105000,106000,107000,109000,110000,111000,113000,114000,115000
Moldova,4380000,4370000,4360000,4340000,4320000,4290000,4250000,4230000,4200000,4190000,4180000,4170000,4170000,4160000,4150000,4130000,4110000,4100000,4090000,4080000,4080000,4070000,4070000,4070000,4070000,4060000,4050000,4040000,4030000
Monaco,29900,30100,30400,30700,31000,31300,31600,31800,32100,32500,32800,33100,33500,33800,34200,34500,34900,35200,35600,36000,36500,36900,37300,37700,38100,38400,38700,39000,39200
Mongolia,2240000,2260000,2280000,2300000,2320000,2340000,2360000,2380000,2400000,2420000,2440000,2470000,2500000,2530000,2560000,2590000,2630000,2670000,2720000,2770000,2820000,2880000,2940000,3000000,3060000,3110000,3170000,3230000,3280000
Montenegro,617000,619000,620000,620000,620000,618000,616000,615000,614000,613000,613000,614000,615000,616000,618000,620000,621000,623000,624000,625000,626000,626000,627000,627000,627000,628000,628000,628000,628000
Morocco,25700000,26200000,26600000,27000000,27400000,27800000,28100000,28500000,28800000,29100000,29500000,29800000,30100000,30500000,30800000,31200000,31500000,31900000,32300000,32800000,33200000,33700000,34200000,34700000,35100000,35600000,36000000,36500000,36900000
Mozambique,13800000,14400000,14900000,15500000,16000000,16400000,16800000,17200000,17700000,18200000,18800000,19300000,19900000,20500000,21100000,21700000,22300000,22900000,23500000,24200000,24900000,25600000,26300000,27000000,27800000,28600000,29500000,30400000,31300000
Myanmar,42400000,42900000,43400000,43900000,44500000,45000000,45600000,46200000,46700000,47200000,47700000,48100000,48600000,48900000,49300000,49600000,49900000,50300000,50600000,51000000,51400000,51900000,52300000,52700000,53000000,53400000,53700000,54000000,54400000
Namibia,1520000,1560000,1590000,1630000,1660000,1700000,1730000,1760000,1790000,1820000,1850000,1880000,1910000,1940000,1970000,2010000,2040000,2080000,2120000,2160000,2190000,2230000,2270000,2310000,2360000,2400000,2450000,2490000,2540000
Nauru,10000,10300,10500,10600,10700,10600,10600,10400,10300,10200,10100,9990,9910,9850,9830,9850,9880,9950,10000,10100,10100,10200,10300,10400,10500,10600,10700,10800,10800
Nepal,19900000,20500000,21000000,21600000,22100000,22600000,23100000,23500000,23900000,24300000,24700000,25100000,25400000,25700000,26100000,26400000,26700000,26900000,27000000,27000000,27000000,26900000,26900000,27000000,27300000,27600000,28100000,28600000,29100000
Netherlands,15200000,15300000,15400000,15500000,15600000,15700000,15700000,15800000,15900000,16000000,16100000,16200000,16300000,16400000,16400000,16500000,16600000,16600000,16700000,16700000,16800000,16800000,16900000,16900000,17000000,17000000,17100000,17100000,17100000
New Zealand,3500000,3560000,3620000,3670000,3720000,3750000,3780000,3820000,3860000,3910000,3960000,4020000,4080000,4140000,4190000,4230000,4280000,4320000,4370000,4420000,4470000,4520000,4570000,4610000,4660000,4700000,4740000,4780000,4820000
Nicaragua,4360000,4460000,4560000,4650000,4740000,4830000,4910000,4990000,5070000,5150000,5220000,5290000,5360000,5440000,5510000,5590000,5670000,5750000,5820000,5900000,5980000,6060000,6140000,6220000,6300000,6380000,6470000,6550000,6620000
Niger,8570000,8860000,9170000,9490000,9830000,10200000,10500000,10900000,11300000,11800000,12200000,12600000,13100000,13600000,14100000,14700000,15300000,15800000,16500000,17100000,17800000,18500000,19200000,20000000,20800000,21600000,22400000,23300000,24200000
Nigeria,100000000,103000000,105000000,108000000,111000000,113000000,116000000,119000000,122000000,125000000,129000000,132000000,135000000,139000000,143000000,146000000,150000000,154000000,159000000,163000000,167000000,172000000,176000000,181000000,186000000,191000000,196000000,201000000,206000000
North Korea,20900000,21300000,21600000,21900000,22100000,22300000,22500000,22700000,22900000,23100000,23300000,23500000,23700000,23900000,24100000,24200000,24300000,24400000,24500000,24700000,24800000,24900000,25100000,25200000,25300000,25400000,25500000,25700000,25800000
Macedonia,1990000,1980000,1980000,1980000,1990000,2000000,2010000,2020000,2030000,2040000,2050000,2050000,2060000,2060000,2060000,2070000,2070000,2070000,2070000,2070000,2070000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000
Norway,4290000,4320000,4340000,4370000,4390000,4420000,4450000,4470000,4500000,4520000,4550000,4570000,4600000,4630000,4670000,4720000,4770000,4830000,4890000,4950000,5010000,5080000,5140000,5200000,5250000,5300000,5340000,5380000,5420000
Oman,1980000,2070000,2150000,2200000,2240000,2250000,2250000,2250000,2270000,2290000,2330000,2390000,2450000,2510000,2580000,2660000,2750000,2880000,3040000,3250000,3500000,3760000,4030000,4270000,4480000,4670000,4830000,4970000,5110000
Pakistan,114000000,117000000,120000000,124000000,127000000,131000000,135000000,139000000,142000000,146000000,150000000,153000000,157000000,160000000,164000000,168000000,172000000,176000000,179000000,183000000,187000000,191000000,195000000,199000000,204000000,208000000,212000000,217000000,221000000
Palau,15900,16300,16700,17200,17600,18000,18400,18800,19100,19400,19600,19800,19900,19800,19500,19200,18700,18300,18000,17700,17600,17600,17600,17700,17700,17800,17900,18000,18100
Palestine,2290000,2390000,2500000,2620000,2740000,2870000,3000000,3120000,3220000,3310000,3380000,3440000,3510000,3580000,3660000,3760000,3860000,3960000,4060000,4150000,4240000,4330000,4430000,4530000,4640000,4750000,4860000,4980000,5100000
Panama,2580000,2630000,2680000,2740000,2800000,2850000,2910000,2970000,3030000,3090000,3150000,3210000,3270000,3330000,3390000,3450000,3520000,3580000,3640000,3710000,3770000,3840000,3900000,3970000,4040000,4110000,4180000,4250000,4310000
Papua New Guinea,4840000,4950000,5070000,5190000,5310000,5450000,5580000,5720000,5850000,5970000,6100000,6220000,6350000,6490000,6650000,6810000,6980000,7140000,7310000,7470000,7630000,7790000,7950000,8110000,8270000,8440000,8610000,8780000,8950000
Paraguay,4450000,4560000,4670000,4780000,4890000,5000000,5110000,5220000,5320000,5430000,5530000,5630000,5730000,5820000,5910000,6000000,6080000,6160000,6250000,6330000,6420000,6510000,6600000,6690000,6780000,6870000,6960000,7040000,7130000
Peru,23000000,23400000,23900000,24300000,24800000,25200000,25700000,26100000,26500000,26800000,27100000,27400000,27600000,27900000,28100000,28300000,28600000,28800000,29000000,29300000,29500000,29800000,30100000,30500000,30900000,31400000,32000000,32500000,33000000
Philippines,65000000,66600000,68200000,69800000,71400000,73000000,74700000,76300000,78000000,79700000,81400000,83100000,84700000,86300000,87900000,89400000,90900000,92400000,94000000,95600000,97200000,98900000,101000000,102000000,104000000,105000000,107000000,108000000,110000000
Poland,38200000,38300000,38400000,38500000,38500000,38500000,38600000,38600000,38600000,38500000,38500000,38400000,38400000,38400000,38400000,38400000,38400000,38400000,38300000,38300000,38200000,38200000,38100000,38000000,38000000,38000000,37900000,37900000,37800000
Portugal,9950000,10000000,10000000,10100000,10100000,10200000,10200000,10300000,10300000,10300000,10400000,10400000,10500000,10500000,10500000,10600000,10600000,10600000,10600000,10600000,10500000,10500000,10400000,10400000,10300000,10300000,10300000,10200000,10200000
Qatar,495000,501000,507000,513000,523000,535000,552000,570000,592000,615000,641000,682000,753000,865000,1020000,1220000,1440000,1650000,1860000,2040000,2200000,2340000,2460000,2570000,2650000,2720000,2780000,2830000,2880000
Romania,23400000,23300000,23100000,23000000,22800000,22600000,22500000,22300000,22100000,22000000,21900000,21700000,21600000,21400000,21200000,21000000,20800000,20600000,20500000,20300000,20200000,20100000,20000000,19900000,19800000,19700000,19500000,19400000,19200000
Russian Federation,148000000,148000000,148000000,148000000,148000000,148000000,147000000,147000000,146000000,146000000,145000000,145000000,144000000,144000000,143000000,143000000,143000000,143000000,143000000,144000000,144000000,144000000,145000000,145000000,145000000,146000000,146000000,146000000,146000000
Rwanda,6700000,6260000,5940000,5840000,6010000,6420000,6960000,7500000,7930000,8230000,8430000,8560000,8680000,8840000,9040000,9270000,9520000,9780000,10000000,10300000,10500000,10800000,11100000,11400000,11700000,12000000,12300000,12600000,13000000
Samoa,165000,167000,169000,170000,171000,172000,173000,174000,174000,175000,176000,177000,179000,180000,181000,182000,183000,185000,186000,187000,189000,191000,192000,194000,195000,195000,196000,197000,198000
San Marino,24800,25200,25600,25900,26300,26600,26900,27100,27500,27800,28200,28600,28900,29300,29700,30100,30400,30800,31200,31700,32100,32600,32900,33300,33500,33700,33800,33900,33900
Sao Tome and Principe,125000,127000,129000,132000,134000,136000,138000,140000,142000,145000,147000,150000,154000,157000,162000,166000,171000,176000,180000,185000,188000,192000,196000,199000,203000,207000,211000,215000,219000
Saudi Arabia,17300000,17800000,18200000,18600000,19000000,19400000,19800000,20200000,20700000,21200000,21800000,22500000,23100000,23800000,24500000,25200000,25900000,26600000,27400000,28300000,29200000,30100000,30900000,31700000,32400000,33100000,33700000,34300000,34800000
Senegal,7990000,8230000,8460000,8690000,8910000,9130000,9350000,9570000,9800000,10000000,10300000,10500000,10800000,11100000,11400000,11700000,12000000,12300000,12700000,13000000,13400000,13800000,14200000,14600000,15000000,15400000,15900000,16300000,16700000
Serbia,9700000,9800000,9860000,9880000,9860000,9780000,9690000,9580000,9490000,9410000,9350000,9290000,9240000,9190000,9150000,9100000,9060000,9020000,8990000,8960000,8940000,8920000,8900000,8880000,8850000,8830000,8800000,8770000,8740000
Seychelles,72700,74100,75400,76700,77600,78400,79100,79900,81000,82400,84100,85800,87400,88700,89500,90100,90500,90800,91300,91900,92600,93400,94200,95000,95700,96400,97100,97700,98300
Sierra Leone,4350000,4330000,4310000,4300000,4310000,4340000,4380000,4460000,4580000,4750000,4970000,5200000,5430000,5650000,5830000,5990000,6130000,6270000,6420000,6560000,6710000,6860000,7020000,7170000,7330000,7490000,7650000,7810000,7980000
Singapore,3200000,3310000,3420000,3530000,3640000,3750000,3860000,3950000,4030000,4080000,4100000,4130000,4180000,4270000,4400000,4580000,4780000,4970000,5130000,5260000,5370000,5450000,5530000,5590000,5650000,5710000,5760000,5800000,5850000
Slovak Republic,5330000,5350000,5360000,5380000,5380000,5390000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5410000,5410000,5420000,5430000,5440000,5440000,5450000,5450000,5460000,5460000
Slovenia,2010000,2000000,2000000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,2000000,2010000,2020000,2030000,2040000,2050000,2060000,2060000,2070000,2070000,2070000,2080000,2080000,2080000,2080000
Solomon Islands,330000,340000,349000,359000,370000,380000,391000,402000,413000,424000,435000,447000,459000,470000,481000,492000,503000,515000,528000,542000,556000,571000,587000,603000,619000,636000,653000,670000,687000
Somalia,7300000,7320000,7370000,7490000,7680000,7940000,8240000,8550000,8870000,9190000,9500000,9820000,10100000,10400000,10800000,11100000,11400000,11700000,12000000,12400000,12700000,13100000,13400000,13800000,14200000,14600000,15000000,15400000,15900000
South Africa,38700000,39600000,40600000,41400000,42200000,43000000,43700000,44300000,45000000,45600000,46200000,46700000,47300000,47900000,48500000,49100000,49800000,50500000,51200000,52000000,52800000,53700000,54500000,55400000,56200000,57000000,57800000,58600000,59300000
South Korea,43800000,44300000,44800000,45300000,45800000,46200000,46600000,47000000,47400000,47700000,48000000,48300000,48500000,48700000,48900000,49000000,49200000,49300000,49500000,49800000,50100000,50300000,50600000,50800000,51000000,51100000,51200000,51200000,51300000
South Sudan,5310000,5190000,5110000,5120000,5220000,5410000,5660000,5930000,6200000,6450000,6690000,6940000,7210000,7540000,7910000,8320000,8740000,9140000,9510000,9830000,10100000,10400000,10600000,10700000,10800000,10900000,11000000,11100000,11200000
Spain,39400000,39500000,39700000,39800000,39900000,40000000,40200000,40500000,40800000,41300000,41900000,42600000,43300000,44000000,44700000,45400000,46100000,46600000,46900000,47100000,47100000,46900000,46800000,46700000,46600000,46600000,46700000,46700000,46800000
Sri Lanka,17700000,17900000,18100000,18200000,18400000,18500000,18600000,18700000,18800000,18900000,19100000,19200000,19400000,19500000,19700000,19800000,20000000,20100000,20300000,20400000,20500000,20700000,20800000,20900000,21000000,21100000,21200000,21300000,21400000
St. Kitts and Nevis,40700,41100,41600,42100,42500,42900,43200,43600,44100,44600,45200,45700,46300,46900,47300,47800,48200,48600,49000,49400,49900,50300,50800,51200,51600,52000,52400,52800,53200
St. Lucia,142000,143000,145000,147000,149000,151000,153000,155000,157000,158000,159000,161000,162000,163000,165000,168000,170000,172000,174000,176000,177000,178000,178000,179000,180000,181000,182000,183000,184000
St. Vincent And The Grenadines,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,109000,109000,109000,109000,108000,108000,108000,108000,108000,109000,109000,109000,109000,110000,110000,111000,111000
Sudan,21700000,22500000,23300000,24100000,24800000,25400000,26000000,26600000,27300000,28000000,28700000,29500000,30200000,30900000,31700000,32400000,33100000,33800000,34500000,35300000,36200000,37100000,38000000,38900000,39800000,40800000,41800000,42800000,43800000
Suriname,421000,428000,435000,442000,448000,454000,460000,465000,471000,477000,482000,488000,494000,499000,505000,511000,517000,523000,529000,535000,541000,547000,553000,559000,565000,571000,576000,581000,587000
Swaziland,867000,888000,908000,927000,946000,963000,980000,994000,1010000,1010000,1020000,1020000,1030000,1030000,1040000,1040000,1050000,1060000,1060000,1070000,1080000,1090000,1100000,1100000,1110000,1120000,1140000,1150000,1160000
Sweden,8690000,8750000,8800000,8840000,8860000,8870000,8870000,8870000,8880000,8900000,8920000,8950000,8990000,9040000,9100000,9160000,9240000,9310000,9390000,9470000,9540000,9620000,9690000,9760000,9840000,9900000,9970000,10000000,10100000
Switzerland,6790000,6870000,6940000,7000000,7040000,7070000,7090000,7120000,7140000,7180000,7220000,7270000,7320000,7390000,7460000,7540000,7620000,7710000,7810000,7910000,8010000,8110000,8210000,8300000,8380000,8460000,8530000,8590000,8650000
Syria,13200000,13600000,14000000,14300000,14800000,15200000,15600000,16000000,16400000,16800000,17100000,17400000,17800000,18400000,19100000,19900000,20700000,21200000,21400000,21100000,20400000,19600000,18700000,18000000,17500000,17100000,16900000,17100000,17500000
Tajikistan,5500000,5590000,5680000,5760000,5850000,5940000,6030000,6120000,6220000,6320000,6430000,6540000,6660000,6790000,6920000,7060000,7210000,7360000,7530000,7700000,7870000,8060000,8250000,8450000,8660000,8880000,9100000,9320000,9540000
Tanzania,27000000,27900000,28800000,29600000,30400000,31200000,31900000,32700000,33500000,34400000,35300000,36300000,37400000,38500000,39500000,40700000,41900000,43100000,44300000,45700000,47100000,48500000,50000000,51500000,53000000,54700000,56300000,58000000,59700000
Thailand,57800000,58300000,58900000,59500000,60100000,60800000,61600000,62300000,63000000,63500000,64100000,64500000,65000000,65400000,65800000,66200000,66500000,66900000,67200000,67500000,67800000,68100000,68400000,68700000,69000000,69200000,69400000,69600000,69800000
Timor-Leste,783000,807000,828000,844000,855000,862000,867000,873000,884000,901000,923000,947000,972000,995000,1020000,1040000,1060000,1070000,1090000,1110000,1130000,1150000,1170000,1200000,1220000,1240000,1270000,1290000,1320000
Togo,3950000,4030000,4120000,4230000,4350000,4490000,4630000,4780000,4920000,5060000,5200000,5330000,5470000,5610000,5760000,5920000,6080000,6250000,6420000,6600000,6770000,6950000,7140000,7320000,7510000,7700000,7890000,8080000,8280000
Tonga,95400,95600,95700,96000,96300,96600,97000,97500,98000,98500,99000,99600,100000,101000,102000,103000,103000,104000,104000,104000,103000,102000,101000,101000,101000,102000,103000,104000,106000
Trinidad And Tobago,1240000,1240000,1250000,1250000,1260000,1260000,1260000,1260000,1270000,1270000,1280000,1280000,1290000,1300000,1300000,1310000,1310000,1320000,1330000,1340000,1340000,1350000,1360000,1370000,1380000,1380000,1390000,1390000,1400000
Tunisia,8610000,8800000,8970000,9130000,9270000,9400000,9510000,9610000,9710000,9790000,9870000,9950000,10000000,10100000,10200000,10300000,10400000,10500000,10600000,10700000,10800000,11000000,11100000,11200000,11300000,11400000,11600000,11700000,11800000
Turkey,55700000,56700000,57600000,58500000,59400000,60400000,61300000,62300000,63200000,64200000,65100000,66100000,67000000,67900000,68800000,69600000,70400000,71300000,72300000,73400000,74700000,75900000,77200000,78500000,79800000,81100000,82300000,83400000,84300000
Turkmenistan,3900000,4010000,4120000,4210000,4290000,4360000,4410000,4470000,4520000,4560000,4610000,4660000,4700000,4750000,4810000,4870000,4940000,5010000,5090000,5170000,5270000,5370000,5470000,5570000,5660000,5760000,5850000,5940000,6030000
Tuvalu,9110,9190,9260,9300,9320,9330,9330,9340,9390,9480,9590,9720,9870,10000,10100,10200,10300,10400,10500,10600,10700,10800,11000,11100,11200,11400,11500,11700,11800
Uganda,18600000,19200000,19800000,20400000,21000000,21700000,22300000,23000000,23700000,24400000,25200000,26000000,26800000,27700000,28600000,29500000,30400000,31400000,32400000,33500000,34600000,35700000,36900000,38200000,39600000,41200000,42700000,44300000,45700000
Ukraine,51400000,51300000,51100000,50900000,50600000,50200000,49700000,49300000,48800000,48400000,48000000,47600000,47200000,46900000,46600000,46400000,46200000,46000000,45800000,45600000,45500000,45300000,45100000,44900000,44700000,44500000,44200000,44000000,43700000
United Arab Emirates,2050000,2170000,2290000,2420000,2540000,2670000,2810000,2970000,3130000,3300000,3480000,3710000,4070000,4590000,5300000,6170000,7090000,7920000,8550000,8950000,9140000,9200000,9210000,9260000,9360000,9490000,9630000,9770000,9890000
United Kingdom,57400000,57600000,57800000,57900000,58100000,58300000,58500000,58700000,58900000,59100000,59300000,59600000,59900000,60300000,60800000,61500000,62100000,62800000,63500000,64000000,64500000,65000000,65400000,65900000,66300000,66700000,67100000,67500000,67900000
United States,257000000,260000000,262000000,265000000,268000000,272000000,275000000,279000000,282000000,285000000,287000000,290000000,292000000,295000000,298000000,301000000,303000000,306000000,309000000,312000000,314000000,316000000,319000000,321000000,323000000,325000000,327000000,329000000,331000000
Uruguay,3150000,3180000,3200000,3220000,3250000,3270000,3290000,3310000,3320000,3330000,3330000,3320000,3320000,3320000,3330000,3330000,3340000,3350000,3360000,3370000,3380000,3390000,3400000,3410000,3420000,3440000,3450000,3460000,3470000
Uzbekistan,21400000,21900000,22300000,22800000,23200000,23600000,24000000,24400000,24800000,25100000,25400000,25700000,26100000,26400000,26800000,27200000,27600000,28100000,28500000,29000000,29400000,29900000,30400000,30900000,31400000,32000000,32500000,33000000,33500000
Vanuatu,155000,160000,164000,168000,172000,175000,178000,181000,185000,189000,194000,199000,204000,209000,214000,219000,225000,230000,236000,243000,250000,257000,264000,271000,278000,285000,293000,300000,307000
Venezuela,20600000,21000000,21500000,21900000,22400000,22800000,23300000,23700000,24200000,24600000,25100000,25600000,26000000,26400000,26900000,27200000,27600000,28000000,28400000,28900000,29400000,29800000,30000000,30100000,29900000,29400000,28900000,28500000,28400000
Vietnam,70900000,72300000,73700000,74900000,76100000,77100000,78100000,79000000,79900000,80700000,81500000,82300000,83100000,83800000,84600000,85400000,86200000,87100000,88000000,88900000,89800000,90800000,91700000,92700000,93600000,94600000,95500000,96500000,97300000
Yemen,13000000,13600000,14300000,14900000,15500000,16000000,16500000,16900000,17400000,17900000,18400000,19000000,19500000,20100000,20700000,21300000,21900000,22500000,23200000,23800000,24500000,25100000,25800000,26500000,27200000,27800000,28500000,29200000,29800000
Zambia,8450000,8660000,8870000,9100000,9340000,9600000,9870000,10100000,10400000,10700000,11000000,11300000,11600000,11900000,12200000,12500000,12800000,13200000,13600000,14000000,14500000,14900000,15400000,15900000,16400000,16900000,17400000,17900000,18400000
Zimbabwe,10900000,11100000,11300000,11400000,11500000,11700000,11700000,11800000,11900000,11900000,12000000,12000000,12000000,12100000,12200000,12300000,12400000,12500000,12700000,12900000,13100000,13400000,13600000,13800000,14000000,14200000,14400000,14600000,14900000