Year,Studio Entertainment[NI 1],Disney Consumer Products[NI 2],Disney Interactive[NI 3][Rev 1],Walt Disney Parks and Resorts,Disney Media Networks,Total
1991,2593,724,,2794,,6111
1992,3115,1081,,3306,,7502
1993,3673.4,1415.1,,3440.7,,8529
1994,4793,1798.2,,3463.6,359,10414
1995,6001.5,2150,,3959.8,414,12525
1996,,,,4502,"4,142",18739
1997,6981,3782,174,5014,6522,22473
1998,6849,3193,260,5532,7142,22976
1999,6548,3030,206,6106,7512,23402
2000,5994,2602,368,6803,9615,25402
2001,7004,2590,,6009,9569,25790
2002,6465,2440,,6691,9733,25360
2003,7364,2344,,6412,10941,27061
2004,8713,2511,,7750,11778,30752
2005,7587,2127,,9023,13207,31944
2006,7529,2193,,9925,14368,34285
2007,7491,2347,,10626,15046,35510
2008,7348,2415,719,11504,15857,37843
2009,6136,2425,712,10667,16209,36149
2010,6701,2678,761,10761,17162,38063
2011,6351,3049,982,11797,18714,40893
2012,5825,3252,845,12920,19436,42278
2013,5979,3555,1064,14087,20356,45041
2014,7278,3985,1299,15099,21152,48813
2015,7366,4499,1174,16162,23264,52465
2016,9441,,,16974,23689,55632